Company,Date Joined,Industry,Country,City,Continent,Year Founded,Funding,Funding_Numeric ($B),Valuation (March) ($B),Select Investors (March),Valuation (November) ($B),Select Investors (November),Years to Unicorn,Most Recent Valuation
GoStudent,2021-06-22,Edtech,Austria,Vienna,Europe,2017,$685M,0.685,3,"DN Capital, Left Lane Capital, Coatue Management",3.5,"DN Capital, Left Lane Capital, Coatue Management",4,3.5
Immutable,2022-03-07,Fintech,Australia,Sydney,Oceania,2018,$280M,0.28,3,"Fabric Ventures, AirTree Ventures, Temasek",2.5,"Fabric Ventures, AirTree Ventures, Temasek",4,2.5
Infra.Market,2021-02-25,E-commerce And Direct-to-consumer,India,Thane,Asia,2016,$274M,0.274,3,"Accel, Tiger Global Management, Nexus Venture Partners",2.5,"Accel, Tiger Global Management, Nexus Venture Partners",5,2.5
Side,2021-03-22,Internet Software And Services,United States,San Francisco,North America,2017,$314M,0.314,3,"Coatue Managemeny, Trinity Ventures, Matrix Partners",2.5,"Coatue Managemeny, Trinity Ventures, Matrix Partners",4,2.5
SiFive,2022-03-16,Hardware,United States,San Mateo,North America,2015,$366M,0.366,3,"Sutter Hill Ventures, Osage University Partners, Spark Capital",2.5,"Sutter Hill Ventures, Osage University Partners, Spark Capital",7,2.5
Somatus,2022-02-23,Health,United States,McLean,North America,2016,$465M,0.465,3,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital",2.5,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital",6,2.5
Sysdig,2021-04-28,Cybersecurity,United States,San Francisco,North America,2013,$730M,0.73,3,"Accel, Bain Capital Ventures, Insight Partners",2.5,"Accel, Bain Capital Ventures, Insight Partners",8,2.5
Uniphore,2022-02-16,Artificial Intelligence,United States,Palo Alto,North America,2008,$607M,0.607,3,"Chiratae Ventures, March Capital Partners, National Grid Partners",2.5,"Chiratae Ventures, March Capital Partners, National Grid Partners",14,2.5
Varo Bank,2021-09-09,Fintech,United States,San Francisco,North America,2015,$987M,0.987,3,"Warburg Pincus, The Rise Fund, HarbourVest Partners",2.5,"Warburg Pincus, The Rise Fund, HarbourVest Partners",6,2.5
Vercel,2021-06-23,Internet Software And Services,United States,San Francisco,North America,2015,$313M,0.313,3,"CRV, Accel, Google Ventures",2.5,"CRV, Accel, Google Ventures",6,2.5
Oura,2022-04-05,Health,Finland,Oulu,Europe,2013,$148M,0.148,3,"Forerunner Ventures, Lifeline Ventures, MSD Capital",2.55,"Forerunner Ventures, Lifeline Ventures, MSD Capital",9,2.55
Unacademy,2020-09-02,Edtech,India,Bengaluru,Asia,2015,$789M,0.789,3,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India",3.44,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India",5,3.44
Axonius,2021-03-01,Cybersecurity,United States,New York,North America,2017,$395M,0.395,3,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",2.6,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",4,2.6
Clari,2021-03-03,Internet Software And Services,United States,Sunnyvale,North America,2012,$496M,0.496,3,"Sequoia Capital, Bain Capital Ventures, enaya Capital",2.6,"Sequoia Capital, Bain Capital Ventures, enaya Capital",9,2.6
ManoMano,2021-07-05,E-commerce And Direct-to-consumer,France,Paris,Europe,2013,$706M,0.706,3,"General Atlantic, Piton Capital, Partech Partners",2.6,"General Atlantic, Piton Capital, Partech Partners",8,2.6
Pendo,2019-10-17,Internet Software And Services,United States,Raleigh,North America,2013,$357M,0.357,3,"Contour Venture Partners, Battery Ventures, Core Capital Partners",2.6,"Contour Venture Partners, Battery Ventures, Core Capital Partners",6,2.6
Plume,2021-02-23,Internet Software And Services,United States,Palo Alto,North America,2015,$722M,0.722,3,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",2.6,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",6,2.6
JumpCloud,2021-09-13,Data Management And Analytics,United States,Louisville,North America,2012,$407M,0.40700000000000003,3,"Foundry Group, General Atlantic, BlackRock",2.62,"Foundry Group, General Atlantic, BlackRock",9,2.62
Project44,2021-06-01,"Supply Chain, Logistics, And Delivery",United States,Chicago,North America,2014,$818M,0.8180000000000001,3,"Emergence Capital Partners, 8VC, Chicago Ventures",2.62,"Emergence Capital Partners, 8VC, Chicago Ventures",7,2.62
Sourcegraph,2021-07-13,Internet Software And Services,United States,San Francisco,North America,2013,$248M,0.248,3,"Redpoint Ventures, Goldcrest Capital, Insight Partners",2.62,"Redpoint Ventures, Goldcrest Capital, Insight Partners",8,2.62
OwnBackup,2021-01-28,Data Management And Analytics,United States,Englewood Cliffs,North America,2015,$507M,0.507,3,"Insight Partners, Salesforce Ventures, Vertex Ventures",3.35,"Insight Partners, Salesforce Ventures, Vertex Ventures",6,3.35
Starburst,2021-01-06,Data Management And Analytics,United States,Boston,North America,1999,$414M,0.41400000000000003,3,"Index Ventures, Coatue Management, Andreessen Horowitz",3.35,"Index Ventures, Coatue Management, Andreessen Horowitz",22,3.35
Youxia Motors,2018-04-02,Auto And Transportation,China,Shanghai,Asia,2014,$1B,1.0,3,"China Environmental Protection Industry, China Fortune Ocean",3.35,"China Environmental Protection Industry, China Fortune Ocean",4,3.35
Zetwerk,2021-08-20,Internet Software And Services,India,Bengaluru,Asia,2018,$543M,0.543,3,"Sequoia Capital India, Kae Capital, Accel",2.68,"Sequoia Capital India, Kae Capital, Accel",3,2.68
Cars24,2020-11-24,E-commerce And Direct-to-consumer,India,Gurgaon,Asia,2015,$1B,1.0,3,"Moore Strategic Ventures, DST Global, Sequoia Capital India",3.3,"Moore Strategic Ventures, DST Global, Sequoia Capital India",5,3.3
Ethos,2021-05-11,Fintech,United States,San Francisco,North America,2016,$407M,0.40700000000000003,3,"Sequoia Capital, Google Ventures, Accel",2.7,"Sequoia Capital, Google Ventures, Accel",5,2.7
Komodo Health,2020-05-22,Health,United States,San Francisco,North America,2014,$314M,0.314,3,"Andreessen Horowitz, IA Ventures, Felicis Ventures",3.3,"Andreessen Horowitz, IA Ventures, Felicis Ventures",6,3.3
Nextiva,2021-09-14,Internet Software And Services,United States,Scottsdale,North America,2008,$200M,0.2,3,Goldman Sachs Asset Management,2.7,Goldman Sachs Asset Management,13,2.7
o9 Solutions,2020-04-28,Artificial Intelligence,United States,Dallas,North America,2009,$417M,0.417,3,KKR,2.7,KKR,11,2.7
Scopely,2019-10-29,Mobile And Telecommunications,United States,Culver City,North America,2011,$999M,0.999,3,"Greycroft, Sands Capital, Revolution Growth",3.3,"Greycroft, Sands Capital, Revolution Growth",8,3.3
Sila Nanotechnologies,2019-04-16,Other,United States,Alameda,North America,2011,$880M,0.88,3,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",3.3,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",8,3.3
Via,2020-03-30,Auto And Transportation,United States,New York,North America,2012,$777M,0.777,3,"83North, RiverPark Ventures, Pitango Venture Capital",3.3,"83North, RiverPark Ventures, Pitango Venture Capital",8,3.3
Transmit Security,2021-06-22,Cybersecurity,Israel,Tel Aviv,Asia,2014,$583M,0.583,3,"General Atlantic, Insight Partners, Vintage Investment Partners",2.74,"General Atlantic, Insight Partners, Vintage Investment Partners",7,2.74
BlockDaemon,2021-09-21,Fintech,United States,Los Angeles,North America,2016,$398M,0.398,3,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital",3.25,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital",5,3.25
Convoy,2018-09-21,"Supply Chain, Logistics, And Delivery",United States,Seattle,North America,2015,$666M,0.666,3,"Greylock Partners, capitalG, Y Combinator",3.8,"Greylock Partners, capitalG, Y Combinator",3,3.8
Dream Games,2021-06-30,Mobile And Telecommunications,Turkey,Istanbul,Europe,2019,$468M,0.468,3,"Makers Fund, Index Ventures, Inova Ventures Participacees",2.75,"Makers Fund, Index Ventures, Inova Ventures Participacees",2,2.75
Illumio,2015-04-14,Cybersecurity,United States,Sunnyvale,North America,2013,$558M,0.558,3,"Data Collective, Formation 8, General Catalyst Partners",2.75,"Data Collective, Formation 8, General Catalyst Partners",2,2.75
MasterClass,2021-05-13,Edtech,United States,San Francisco,North America,2015,$461M,0.461,3,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",2.75,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",6,2.75
Graphcore,2018-12-18,Artificial Intelligence,United Kingdom,Bristol,Europe,2016,$682M,0.682,3,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",2.77,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",2,2.77
ApplyBoard,2020-05-05,Edtech,Canada,Kitchener,North America,2015,$483M,0.483,3,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",3.2,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",5,3.2
Blockstream,2021-08-24,Fintech,Canada,Vancouver,North America,2014,$299M,0.299,3,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",3.2,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",7,3.2
Cedar,2021-03-09,Fintech,United States,New York,North America,2016,$326M,0.326,3,"Thrive Capital, Founders Fund, Cocnord Health Partners",3.2,"Thrive Capital, Founders Fund, Cocnord Health Partners",5,3.2
ContentSquare,2021-05-25,Internet Software And Services,France,Paris,Europe,2012,$812M,0.812,3,"Highland Europe, Eurazeo, Canaan Partners",5.6,"Highland Europe, Eurazeo, Canaan Partners",9,5.6
Eruditus Executive Education,2021-08-12,Edtech,India,Mumbai,Asia,2010,$591M,0.591,3,"Sequoia Capital India, Softbank, Bertelsmann India Investments",3.2,"Sequoia Capital India, Softbank, Bertelsmann India Investments",11,3.2
Innovaccer,2021-02-19,Health,United States,San Francisco,North America,2014,$379M,0.379,3,"M12, WestBridge Capital, Lightspeed Venture Partners",3.2,"M12, WestBridge Capital, Lightspeed Venture Partners",7,3.2
Ironclad,2022-01-18,Internet Software And Services,United States,Sacramento,North America,2014,$334M,0.334,3,"Accel, Sequoia Capital, Y Combinator",3.2,"Accel, Sequoia Capital, Y Combinator",8,3.2
Skims,2021-04-09,E-commerce And Direct-to-consumer,United States,Los Angeles,North America,2019,$399M,0.399,3,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",3.2,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",2,3.2
Thumbtack,2015-09-29,E-commerce And Direct-to-consumer,United States,San Francisco,North America,2008,$698M,0.6980000000000001,3,"Tiger Global, Sequoia Capital, Google Capital",3.2,"Tiger Global, Sequoia Capital, Google Capital",7,3.2
Zipline,2019-05-20,"Supply Chain, Logistics, And Delivery",United States,South San Francisco,North America,2014,$483M,0.483,3,"Sequoia Capital, Baillie Gifford & Co., Google Ventures",2.8,"Sequoia Capital, Baillie Gifford & Co., Google Ventures",5,2.8
DriveWealth,2021-08-20,Fintech,United States,Chatham,North America,2012,$551M,0.551,3,"Point72 Ventures, Route 66 Ventures, Accel",2.85,"Point72 Ventures, Route 66 Ventures, Accel",9,2.85
PsiQuantum,2021-07-27,Hardware,United States,Palo Alto,North America,2016,$665M,0.665,3,"Playground Global, M12, BlackRock",3.15,"Playground Global, M12, BlackRock",5,3.15
SpotOn,2021-05-26,Fintech,United States,San Francisco,North America,2017,$628M,0.628,3,"Dragoneer Investment Group, DST Global, Franklin Templeton",3.6,"Dragoneer Investment Group, DST Global, Franklin Templeton",4,3.6
Gorillas,2021-03-25,E-commerce And Direct-to-consumer,Germany,Berlin,Europe,2020,$1B,1.0,3,"Coatue Management, Atlantic Food Labs, DST Global",3.1,"Coatue Management, Atlantic Food Labs, DST Global",1,3.1
HighRadius,2020-01-07,Fintech,United States,Houston,North America,2006,$475M,0.47500000000000003,3,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",3.1,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",14,3.1
Loft,2020-01-03,E-commerce And Direct-to-consumer,Brazil,Sao Paulo,South America,2018,$788M,0.788,3,"Monashees+, Andreessen Horowitz, QED Investors",2.9,"Monashees+, Andreessen Horowitz, QED Investors",2,2.9
Nuvemshop,2021-08-17,E-commerce And Direct-to-consumer,Brazil,Sao Paulo,South America,2011,$628M,0.628,3,"Kaszek Ventures, Qualcomm Ventures, Accel",3.1,"Kaszek Ventures, Qualcomm Ventures, Accel",10,3.1
Udaan,2018-09-04,"Supply Chain, Logistics, And Delivery",India,Bengaluru,Asia,2016,$1B,1.0,3,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp",3.1,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp",2,3.1
Workrise,2019-09-30,Internet Software And Services,United States,Austin,North America,2014,$722M,0.722,3,"Founders Fund, Quantum Energy Partners, Bedrock Capital",2.9,"Founders Fund, Quantum Energy Partners, Bedrock Capital",5,2.9
ActiveCampaign,2021-04-21,Internet Software And Services,United States,Chicago,North America,2003,$360M,0.36,3,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",3.0,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",18,3.0
Age of Learning,2016-05-03,Edtech,United States,Glendale,North America,2007,$500M,0.5,3,Iconiq Capital,3.0,Iconiq Capital,9,3.0
Amber Group,2021-06-21,Fintech,Hong Kong,,Asia,2015,$328M,0.328,3,"Tiger Global Management, Tiger Brokers, DCM Ventures",3.0,"Tiger Global Management, Tiger Brokers, DCM Ventures",6,3.0
Anchorage Digital,2021-12-15,Fintech,United States,San Francisco,North America,2017,$487M,0.487,3,"Andreessen Horowitz, Blockchain Capital, Lux Capital",3.0,"Andreessen Horowitz, Blockchain Capital, Lux Capital",4,3.0
BlockFi,2021-03-11,Fintech,United States,Jersey City,North America,2017,$1B,1.0,3,"ConsenSys Ventures, Valar Ventures, PUC",3.0,"ConsenSys Ventures, Valar Ventures, PUC",4,3.0
Calendly,2021-01-26,Internet Software And Services,United States,Atlanta,North America,2013,$351M,0.35100000000000003,3,"ICONIQ Capital, OpenView Venture Partners",3.0,"ICONIQ Capital, OpenView Venture Partners",8,3.0
Carbon Health,2021-07-21,Health,United States,San Francisco,North America,2015,$523M,0.523,3,"Brookfield Asset Management, Blackstone, Data Collective",3.0,"Brookfield Asset Management, Blackstone, Data Collective",6,3.0
Circle,2018-05-15,Fintech,United States,Boston,North America,2013,$711M,0.711,3,"General Catalyst, Digital Currency Group, Accel",3.0,"General Catalyst, Digital Currency Group, Accel",5,3.0
CMR Surgical,2019-09-17,Health,United Kingdom,Cambridge,Europe,2014,$975M,0.975,3,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",3.0,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",5,3.0
Contentful,2021-07-28,Internet Software And Services,Germany,Berlin,Europe,2013,$333M,0.333,3,"Balderton Capital, General Catalyst, Tiger Global Management",3.0,"Balderton Capital, General Catalyst, Tiger Global Management",8,3.0
Cross River Bank,2022-02-11,Fintech,United States,Fort Lee,North America,2008,$775M,0.775,3,"Battery Ventures, Andreessen Horowitz, Ribbit Capital",3.0,"Battery Ventures, Andreessen Horowitz, Ribbit Capital",14,3.0
Flutterwave,2021-03-09,Fintech,United States,San Francisco,North America,2016,$474M,0.47400000000000003,3,"Green Visor Capital, CRE Venture Capital, Greycroft",3.0,"Green Visor Capital, CRE Venture Capital, Greycroft",5,3.0
Forter,2020-11-19,Cybersecurity,United States,New York,North America,2013,$525M,0.525,3,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",3.0,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",7,3.0
Grafana Labs,2021-03-25,Internet Software And Services,United States,New York,North America,2014,$535M,0.535,3,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",3.0,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",7,3.0
Groww,2021-04-07,Fintech,India,Bengaluru,Asia,2017,$393M,0.393,3,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",3.0,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",4,3.0
Inxeption,2022-01-13,Fintech,United States,San Francisco,North America,2017,$187M,0.187,3,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",3.0,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",5,3.0
KK Group,2019-10-23,E-commerce And Direct-to-consumer,China,Dongguan,Asia,2014,$612M,0.612,3,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group",3.0,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group",5,3.0
Lattice,2021-03-23,Internet Software And Services,United States,San Francisco,North America,2015,$329M,0.329,3,"Khosla Ventures, Thrive Capital, Y Combinator",3.0,"Khosla Ventures, Thrive Capital, Y Combinator",6,3.0
LaunchDarkly,2021-08-10,Internet Software And Services,United States,Oakland,North America,2014,$330M,0.33,3,"Uncork Capital, Threshold Ventures, Bloomberg Beta",3.0,"Uncork Capital, Threshold Ventures, Bloomberg Beta",7,3.0
Outschool,2021-04-14,Edtech,United States,San Francisco,North America,2015,$240M,0.24,3,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",3.0,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",6,3.0
Podium,2020-04-07,Internet Software And Services,United States,Lehi,North America,2014,$419M,0.419,3,"Accel, Summit Partners, Google Ventures",3.0,"Accel, Summit Partners, Google Ventures",6,3.0
Remote,2021-07-13,Fintech,United States,San Francisco,North America,2016,$496M,0.496,3,"Index Ventures, Sequoia Capital, General Catalyst",3.0,"Index Ventures, Sequoia Capital, General Catalyst",5,3.0
Seismic,2018-12-18,Internet Software And Services,United States,San Diego,North America,2010,$427M,0.427,3,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",3.0,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",8,3.0
Sky Mavis,2021-10-04,Internet Software And Services,Vietnam,Ho Chi Minh City,Asia,2019,$311M,0.311,3,"Fabric Ventures, 500 Global, Standard Crypto",3.0,"Fabric Ventures, 500 Global, Standard Crypto",2,3.0
SouChe Holdings,2017-11-01,E-commerce And Direct-to-consumer,China,Hangzhou,Asia,2012,$1B,1.0,3,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",3.0,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",5,3.0
TradingView,2021-10-14,Fintech,United States,Westerville,North America,2011,$339M,0.339,3,"Tiger Global Management, Insight Partners, Jump Capital",3.0,"Tiger Global Management, Insight Partners, Jump Capital",10,3.0
Traveloka,2017-01-01,Travel,Indonesia,Jakarta,Asia,2012,$1B,1.0,3,"Global Founders Capital, East Ventures, Expedia Inc.",3.0,"Global Founders Capital, East Ventures, Expedia Inc.",5,3.0
wefox,2019-03-05,Fintech,Germany,Berlin,Europe,2014,$919M,0.919,3,"Salesforce Ventures, Seedcamp, OMERS Ventures",4.5,"Salesforce Ventures, Seedcamp, OMERS Ventures",5,4.5
Wildlife Studios,2019-12-05,Other,Brazil,Sao Paulo,South America,2011,$180M,0.18,3,"Benchmark, Bessemer Venture Partners",3.0,"Benchmark, Bessemer Venture Partners",8,3.0
1047 Games,2021-09-14,Internet Software And Services,United States,Zephyr Cove,North America,2017,$127M,0.127,2,"VGames, Lakestar, Galaxy Interactive",1.5,"VGames, Lakestar, Galaxy Interactive",4,1.5
Baiwang,2019-03-25,Fintech,China,Beijing,Asia,2015,$224M,0.224,2,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital",1.55,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital",4,1.55
Boba,2022-04-05,Fintech,United States,San Francisco,North America,2018,$45M,0.045,2,"DeFi Technologies, Hypersphere Ventures, M13",1.5,"DeFi Technologies, Hypersphere Ventures, M13",4,1.5
Cambridge Mobile Telematics,2018-12-19,Mobile And Telecommunications,United States,Cambridge,North America,2010,$503M,0.503,2,SoftBank Group,1.5,SoftBank Group,8,1.5
Carzone,2019-03-01,E-commerce And Direct-to-consumer,China,Jiangsu,Asia,1995,$946M,0.9460000000000001,2,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital",1.52,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital",24,1.52
CFGI,2021-09-15,Fintech,United States,Boston,North America,2000,$19M,0.019,2,"The Carlyle Group, CVC Capital Partners",1.85,"The Carlyle Group, CVC Capital Partners",21,1.85
Cgtz,2017-02-21,Fintech,China,Hangzhou,Asia,2014,$536M,0.536,2,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",2.41,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",3,2.41
Changingedu,2017-10-30,Edtech,China,Shanghai,Asia,2014,$188M,0.188,2,"Trustbridge Partners, IDG Capital, Sequoia Capital China",1.5,"Trustbridge Partners, IDG Capital, Sequoia Capital China",3,1.5
eDaili,2019-02-01,E-commerce And Direct-to-consumer,China,Shanghai,Asia,2015,$101M,0.101,2,"K2VC, Lightspeed China Partners, Sky9 Capital",1.9,"K2VC, Lightspeed China Partners, Sky9 Capital",4,1.9
ENOVATE,2019-04-15,Auto And Transportation,China,Shanghai,Asia,2015,$1B,1.0,2,Automobile Industry Guidance Fund,1.85,Automobile Industry Guidance Fund,4,1.85
Fenbi Education,2021-02-07,Edtech,China,Beijing,Asia,2015,$390M,0.39,2,"Trustbridge Partners, Hony Capital, IDG Capital",1.95,"Trustbridge Partners, Hony Capital, IDG Capital",6,1.95
Hesai Tech,2020-08-01,Artificial Intelligence,China,Shanghai,Asia,2013,$717M,0.717,2,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners",2.18,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners",7,2.18
Il Makiage,2022-01-10,E-commerce And Direct-to-consumer,United States,New York,North America,2018,$29M,0.029,2,"L Catterton, Franklin Templeton, First Light Capital Group",1.5,"L Catterton, Franklin Templeton, First Light Capital Group",4,1.5
Iluvatar CoreX,2021-03-01,Hardware,China,Shanghai,Asia,2015,$186M,0.186,2,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital",1.55,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital",6,1.55
Jusfoun Big Data,2018-07-09,Data Management And Analytics,China,Beijing,Asia,2010,$137M,0.137,2,"Boxin Capital, DT Capital Partners, IDG Capital",1.62,"Boxin Capital, DT Capital Partners, IDG Capital",8,1.62
PolicyBazaar,2019-05-06,Fintech,India,Gurgaon,Asia,2008,$634M,0.634,2,"Info Edge, Softbank Capital",2.4,"Info Edge, Softbank Capital",11,2.4
Promasidor Holdings,2016-11-08,Consumer And Retail,South Africa,Bryanston,Asia,1979,$556M,0.556,2,"IFC, Ajinomoto",1.59,"IFC, Ajinomoto",37,1.59
Tubatu.com,2015-03-09,E-commerce And Direct-to-consumer,China,Shenzhen,Asia,2008,$216M,0.216,2,"Sequoia Capital China, Matrix Partners China, 58.com",2.0,"Sequoia Capital China, Matrix Partners China, 58.com",7,2.0
Ximalaya FM,2017-09-22,Mobile And Telecommunications,China,Shanghai,Asia,2012,$71M,0.07100000000000001,2,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management",1.52,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management",5,1.52
HEYTEA,2019-07-01,Other,China,Shenzhen,Asia,2012,$594M,0.594,2,"Sequoia Capital China, Tencent Investment, BA Capital",9.28,"Sequoia Capital China, Tencent Investment, BA Capital",7,9.28
BGL Group,2017-11-24,Fintech,United Kingdom,Peterborough,Europe,1992,$696M,0.6960000000000001,2,CPP Investment Board,3.0,CPP Investment Board,25,3.0
Claroty,2021-06-17,Cybersecurity,United States,New York,North America,2015,$640M,0.64,2,"Bessemer Venture Partners, MoreVC, Team8",1.0,"Bessemer Venture Partners, MoreVC, Team8",6,1.0
Improbable,2017-05-11,Other,United Kingdom,London,Europe,2012,$754M,0.754,2,"Andreessen Horowitz, SoftBank Group, Temasek Holdings",3.36,"Andreessen Horowitz, SoftBank Group, Temasek Holdings",5,3.36
InMobi,2014-12-02,Mobile And Telecommunications,India,Bengaluru,Asia,2007,$221M,0.221,2,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures",1.0,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures",7,1.0
MindMaze,2016-01-28,Health,Switzerland,Lausanne,Europe,2012,$340M,0.34,2,Hinduja Group,1.0,Hinduja Group,4,1.0
Ninja Van,2021-09-27,"Supply Chain, Logistics, And Delivery",Singapore,,Asia,2014,$975M,0.975,2,"B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution",1.0,"B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution",7,1.0
Pantheon Systems,2021-07-13,Internet Software And Services,United States,San Francisco,North America,2010,$200M,0.2,2,"Foundry Group, Scale Venture Partners, SoftBank Group",1.0,"Foundry Group, Scale Venture Partners, SoftBank Group",11,1.0
SellerX,2021-12-09,E-commerce And Direct-to-consumer,Germany,Berlin,Europe,2020,$766M,0.766,2,"Cherry Ventures, Felix Capital, 83North",1.0,"Cherry Ventures, Felix Capital, 83North",1,1.0
AppDirect,2015-10-07,E-commerce And Direct-to-consumer,United States,San Francisco,North America,2009,$431M,0.431,2,"Mithril, iNovia Capital, Foundry Group",1.1,"Mithril, iNovia Capital, Foundry Group",6,1.1
BrewDog,2017-04-10,Consumer And Retail,United Kingdom,Aberdeen,Europe,2007,$233M,0.233,2,"TSG Consumer Partners, Crowdcube",1.24,"TSG Consumer Partners, Crowdcube",10,1.24
BrewDog,2017-04-10,Consumer And Retail,United Kingdom,Aberdeen,Europe,2007,$233M,0.233,2,TSG Consumer Partners,1.24,"TSG Consumer Partners, Crowdcube",10,1.24
Enflame,2021-01-05,Hardware,China,Shanghai,Asia,2018,$472M,0.47200000000000003,2,"Tencent Holdings, Delta Capital, Redpoint Ventures China",1.24,"Tencent Holdings, Delta Capital, Redpoint Ventures China",3,1.24
Tradeshift,2018-05-30,Fintech,United States,San Francisco,North America,2009,$861M,0.861,2,"Notion Capital, Scentan Ventures, Kite Ventures",2.7,"Notion Capital, Scentan Ventures, Kite Ventures",9,2.7
HeartFlow,2017-12-04,Health,United States,Redwood City,North America,2007,$568M,0.5680000000000001,2,"BlueCross BlueShield Venture Partners, US Venture Partners",1.3,"BlueCross BlueShield Venture Partners, US Venture Partners",10,1.3
Extend,2021-05-18,Fintech,United States,San Francisco,North America,2004,$320M,0.32,2,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures",1.36,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures",17,1.36
Airbyte,2021-12-17,Internet Software And Services,United States,San Francisco,North America,2020,$181M,0.181,2,"Accel, Benchmark, SV Angel",1.5,"Accel, Benchmark, SV Angel",1,1.5
Andela,2021-09-29,Internet Software And Services,United States,New York,North America,2014,$381M,0.381,2,"Spark Capital, Google Ventures, CRE Venture Capital",1.5,"Spark Capital, Google Ventures, CRE Venture Capital",7,1.5
Ascend Money,2021-09-27,Fintech,Thailand,Bangkok,Asia,2013,$150M,0.15,2,"Ant Group, Charoen Pokphand Group, Bow Wave Capital",1.5,"Ant Group, Charoen Pokphand Group, Bow Wave Capital",8,1.5
Athelas,2022-01-31,Health,United States,Mountain View,North America,2016,$150M,0.15,2,"Sequoia Capital, General Catalyst, Human Capital",1.5,"Sequoia Capital, General Catalyst, Human Capital",6,1.5
Built,2021-09-30,Internet Software And Services,United States,Nashville,North America,2015,$289M,0.289,2,"Nyca Partners, Index Ventures, Technology Crossover Ventures",1.5,"Nyca Partners, Index Ventures, Technology Crossover Ventures",6,1.5
